Corp Num,企業名,都道府県,市内,Homepage,ステータス,上場,電話番号,郵便番号,住所,従業員数,設立年月日,事業内容
9430001038905,株式会社クリエイティブアドバンス,北海道,室蘭市,http://c-advance.co.jp,,未上場,011-823-0200,500074,北海道室蘭市中島町３丁目２９番１号,7,2008-08,販売管理ソフトウェア開発事業、顧客情報管理システム開発事業、制御システムエンジニアリング事業、データベース開発事業、セキュリティシステム開発事業、オーダー管理システム開発事業、検索エンジン開発事業、自動制御システム開発事業、建設現場管理システム開発事業、倉庫管理ソフトウェア販売事業
9430001028360,株式会社ケーリンク,北海道,札幌市中央区,http://www.klink.co.jp,,未上場,011-252-2222,600062,北海道札幌市中央区南二条西６丁目１３番地１,17,2001-08-01,ウェブアプリケーション開発事業、モバイルアプリケーション開発事業
8430001022439,株式会社HBA,北海道,札幌市中央区,https://www.hba.co.jp,,未上場,011-231-8301,600004,北海道札幌市中央区北四条西７丁目１番地８,862,1964-04-16,ソフトウェア流通事業、システムアドバイザリー事業、契約書代行業務
8430001000493,株式会社アジェンダ,北海道,札幌市中央区,http://www.agenda.co.jp,,未上場,011-716-0171,600003,北海道札幌市中央区北三条西２丁目２番地１,72,1990-11-02,ウェブアプリケーション開発事業、予約管理ソフトウェア開発事業、編集用ソフトウェア開発事業
2430001064973,株式会社TOPCREW,北海道,札幌市中央区,http://top-crew.co.jp,,未上場,011-218-1010,600001,北海道札幌市中央区北一条西３丁目３番地４１マルイト時計台前ビル３Ｆ,21,2013-10,技術者派遣事業、オペレーター人材派遣事業
7430001029468,エム・ワイ・エス株式会社,北海道,札幌市厚別区,http://www.myscom.co.jp,,未上場,011-809-1616,40015,北海道札幌市厚別区下野幌テクノパーク１丁目２番６号,8,1995-06,在庫管理プログラム開発事業、システム運用サポート事業
3430001026238,株式会社サンバレス,北海道,札幌市手稲区,http://www.sunvalles.co.jp,,未上場,011-738-5355,60853,北海道札幌市手稲区星置三条４丁目２番１３号,1,2000-03,ネットワークインフラ設置事業、LAN設置工事事業、在庫管理プログラム開発事業、物流システムの開発事業、検索エンジン開発事業、コンピュータプログラム学習支援事業
3430001022690,HISホールディングス株式会社,北海道,札幌市中央区,http://www.hokuyois.co.jp,,未上場,011-210-6634,600031,北海道札幌市中央区北一条東２丁目５番６号,227,1987-06-01,顧客情報管理システム開発事業、データベース開発事業、情報システム運用管理事業、情報管理ソフトウェア開発事業、情報管理ソフトウェア販売事業
2430001002330,株式会社エスエスコーポレーション,北海道,札幌市白石区,http://www.ss-cop.co.jp,,未上場,011-817-2804,30004,北海道札幌市白石区東札幌四条３丁目１番５号,9,1994-02,ネットワークインフラ設置事業、ソフトウェア販売卸売事業、企業向けシステム開発事業、建設業界向けソフトウェアソリューション開発事業、介護ソフトウェア開発事業
5460102001473,有限会社システムハウスクリエイト,北海道,帯広市,http://www.netbeet.ne.jp/~create1,,未上場,0155-33-0763,802473,北海道帯広市西二十三条南４丁目３５番地１７,5,1989-01,ネットワークインフラ設置事業、コンピュータ販売事業、医療施設用システム開発事業、ビジネス向けソフトウェア開発事業
